Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,54.42,1.11,13.07,6.68,0.13,7.5,6.29,3.01,5.75,1.1,219,1458,2419,3.5,22.8,128.4,369.8,,256.3,,,26.5,484.6,23.1,12.45,1.1,94.88,207.18,26.94,113.11,15.02,3.27,8.83,,5.39,,2.51,,2.41,0.36,18.33,64.16,7.25,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.53,1.17,13.02,6.74,0.12,7.54,5.8,2.69,6.15,1.13,254,1520,2663,3,23.1,120.3,392.7,,266.1,,,29.9,548.1,25.6,14.19,1.2,123.15,215.17,32.95,136.89,17.86,3.59,10.43,,5.97,,2.83,,2.59,0.37,36.96,72.09,6.88,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.3,1.19,13.12,9.03,0.16,9.47,9.52,2.53,5.21,1.64,194,1324,2398,9.8,28.5,172.7,219.2,,79.3,,,27.9,357.4,27.8,9.32,1.67,59.34,118.89,15.04,62.69,10.96,2.79,8.45,,5.83,,2.66,,2.44,0.36,47,29.53,7.16,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.29,1.19,13.08,8.98,0.15,8.71,9.44,2.47,5.31,1.64,226,1308,2356,8.5,28.2,182.1,227.5,,91.2,,,27.5,339.7,26.8,8.84,1.59,57.65,116.53,14.77,61.69,11.21,2.7,8.33,,5.77,,2.64,,2.33,0.34,43,27.49,5.08,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.65,2.58,13.46,7.69,0.11,7.39,7.91,4.07,3.49,1.89,224,1369,4132,30,24.9,148.1,215,,156,,,21.6,466.3,30.7,12.94,1.27,104.57,195.84,24.46,101.47,15.05,3.35,8.19,,4.72,,2.03,,1.8,0.26,26,24.94,5,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.44,2.22,13.94,7.84,0.13,7.46,8.59,2.85,6.25,1.7,342,1525,4102,5.6,24.5,177.4,167,,147,,,22.1,423.7,30.8,11.06,1.23,117.68,232.29,26.89,107.92,15.5,3.57,8.54,,4.75,,2.08,,1.91,0.28,27,22.82,3.47,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.98,2.36,13.66,7.8,0.12,7.21,7.98,2.88,6.58,1.73,414,1505,4253,7.1,23.6,168.4,187,,153,,,21.3,433.4,31.5,11.26,1.26,107.81,214.36,25.6,103.47,14.93,3.51,8.17,,4.63,,2,,1.91,0.3,28,22.58,4.56,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.74,2.19,14.13,8.09,0.13,7.62,8.44,3.01,6.28,1.68,283,1530,4006,5,25.3,174.6,160,,143,,,22.7,425.4,29.9,10.99,1.13,119.35,230.36,27.02,109.24,15.89,3.6,8.77,,4.8,,2.15,,1.9,0.28,32,25.49,2.95,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,61.85,0.87,14.36,5.12,0.09,3.67,3.53,3.84,3.93,0.56,136,641,1247,2.3,17,110.4,,,,,,17,206.5,19.5,5.39,1.49,37.67,85.61,9.39,36.54,6.03,1.36,4.27,,3.3,,1.74,,1.78,0.29,,12.39,2.6,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.05,2.23,13.81,7.69,0.12,7.02,8.69,2.93,6.36,1.68,360,1474,3968,6.2,23.4,174.5,168,,146,,,21.3,385.7,32.9,10.37,1.48,106.12,228.12,26.18,99.76,14.16,3.04,8.2,,4.63,,2.06,,1.88,0.26,30,23.03,4.12,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,45.47,2.53,13.27,7.63,0.11,7.6,7.99,3.95,2.99,1.87,294,1127,3720,70.5,23.6,172.8,200,,167,,,20.7,411.6,32.6,11.16,1.72,96.69,211.49,25.51,101.1,14.67,3.21,8.43,,4.5,,1.93,,1.64,0.24,24,20.14,3.12,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,45.95,2.39,13.47,7.73,0.12,7,8.02,3.7,3.4,1.84,304,1148,3153,33.7,23,162.8,200,,151,,,22,412.8,33.7,11.02,1.57,102.21,217.79,25.28,97.96,14.1,3.12,8.1,,4.78,,2.07,,1.84,0.27,26,22.5,4.22,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,48.35,1.16,12.06,7.78,0.13,9.9,8.53,2.17,6.63,1.65,344,1105,2554,14.7,31.5,170.5,421.2,,275.4,,,22.3,313.9,22.1,8.02,1.06,37.32,79.6,10.19,43.86,7.96,2.08,6.36,,4.48,,2.15,,2,0.29,6.73,24.15,5.9,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.55,1.16,11.68,7.74,0.13,10.24,8.21,1.89,6.22,1.61,251,995,2436,20.1,32,143.4,421.4,,248.3,,,22.2,295.2,19.7,7.81,0.98,37.55,78.26,10.12,44.37,8.31,2.08,6.73,,4.72,,2.2,,1.95,0.3,46.92,24,7.64,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.68,1.43,11.29,7.31,0.12,9.38,8.74,1.29,6,1.44,224,957,1975,10.4,27.7,165.2,382.2,,117.5,,,20.2,440.2,26.7,11.95,1.28,54.05,122.33,16.43,68.21,10.35,2.25,6.51,,4.19,,1.97,,1.83,0.28,21,44.81,6.83,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.31,1.37,11.04,7.28,0.12,9.66,8.48,1.55,6.09,1.48,169,986,2063,8.3,27.9,167,398.7,,149.3,,,20.5,431,25.4,11.54,1.24,54.79,124.21,16.78,70.34,10.59,2.32,6.61,,4.27,,2,,1.77,0.25,23,42.91,6.38,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.77,1.46,11.43,7.38,0.12,9.23,8.28,2.08,6.26,1.45,330,1075,2317,12.7,28.4,174.9,408.6,,156.9,,,21.6,470.2,28.3,12.65,1.46,60.67,136.71,17.88,74.81,11.23,2.44,6.85,,4.45,,2.09,,1.87,0.27,10.63,45.85,7.5,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.76,1.44,11.32,7.5,0.13,9.3,8.57,2.01,6.01,1.45,223,976,2042,9.6,28.5,160.8,412.9,,125.4,,,19.9,411.3,24,11.17,1.17,51.85,119.51,16.03,67.79,9.85,2.23,6.32,,4.16,,1.88,,1.71,0.25,9.65,39.27,6.13,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.11,1.4,11.1,7.26,0.12,9.31,8.53,2.31,4.76,1.41,280,953,2028,18.5,26.4,176.3,395.6,,109.2,,,17.5,415.2,25.2,11.23,1.25,46.5,106.12,14.13,60.08,8.94,2.03,5.65,,3.69,,1.76,,1.55,0.22,8.36,41.25,5.98,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.3,1.19,13.12,9.03,0.16,9.47,9.52,2.53,5.21,1.64,194,1324,2398,9.8,28.5,172.7,219.2,,79.3,,,27.9,357.4,27.8,9.32,1.67,59.34,118.89,15.04,62.69,10.96,2.79,8.45,,5.83,,2.66,,2.44,0.36,25.89,29.53,7.16,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.29,1.19,13.08,8.98,0.15,8.71,9.44,2.47,5.31,1.64,226,1308,2356,8.5,28.2,182.1,227.5,,91.2,,,27.5,339.7,26.8,8.84,1.59,57.65,116.53,14.77,61.69,11.21,2.7,8.33,,5.77,,2.64,,2.33,0.34,20.29,27.49,5.08,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.39,1.44,15.4,7.82,0.13,7.74,9.21,2.39,3.27,0.95,108,1961,2577,5.8,21.3,158.7,218.5,,174.2,,,24,281,23,6.66,1.16,115.1,212.84,23.07,85.74,12.05,2.79,7.72,,4.99,,2.36,,2.17,0.31,13.32,30.16,5.01,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.2,0.94,14.71,7.09,0.13,7.52,9.29,3.44,3.64,1.04,294,1178,1559,7,21.6,136.7,165.5,,151.3,,,24.9,273.2,22.4,6.85,1.39,56.61,110.16,13.02,51.99,8.33,2.08,6.29,,4.79,,2.39,,2.51,0.37,2.94,25.12,7.13,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.83,1.44,11.5,7.25,0.12,9.2,7.92,1.39,6.82,1.42,372,1091,2292,13,,,286,,117,,,21,478,27,13.3,1.26,56,126,,69,11,3.5,7.8,1.06,,,,0.4,1.99,0.26,19,52,5.8,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,46.79,2.14,14.31,7.84,0.12,7.38,8.33,3.14,6.07,1.73,389,1712,4189,10.1,24,,144,,135,,,26,409,34,12.3,1.47,135,248,,112,18.5,3.6,12.8,1.2,,,,0.35,2.09,0.3,,28.9,4.7,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,61.46,0.56,14.33,3.92,0.08,3.54,4.53,3.29,5.65,0.72,238,1067,1785,12.4,12.7,,59,,38,,,21,222,18,7,1.25,66,111,,45,8.6,1.9,6.6,0.8,,,,0.36,2.05,0.29,,39.5,9.4,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,53.25,1.2,12.4,6.85,0.12,8.71,6.24,2.77,5.63,1.14,217,1624,2813,7.1,21,,412,,279,,,26,528,24,15.2,1.06,109,222,,122,17.3,3.7,11.1,1.15,,,,0.38,2.36,0.31,37,76.5,5.2,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,55.25,0.9,14.7,5.8,0.11,6.2,6.08,3.43,5.25,1.11,234,1392,2578,9.8,17.2,,179,,128,,,24,308,26,8.8,1.37,74,127,,53,9.3,2.1,6,0.85,,1.25,,0.38,2.19,0.31,48,32.6,7.2,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.6,1.42,12.31,6.84,0.11,9.73,6.9,2.15,6.2,1.42,316,1687,3496,7.8,22,,352,,297,,,25,501,25,15.4,0.97,110,227,,120,17.9,3.6,10.9,1.07,,1.23,,0.31,1.91,0.28,27,56.1,5.1,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,60.12,0.72,14.01,5.32,0.1,4.3,4.97,3.44,5.65,0.9,339,774,1027,14.7,15.6,,65,,57,,,25,275,18,7.3,0.95,36,63,,32,6.9,1.5,6,0.8,,,,0.36,2.09,0.36,,28.6,11.5,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.45,1.15,12.23,7.45,0.12,9.87,7.43,1.89,7.01,1.62,360,1141,2833,25.4,25.5,,309,,222,,,25,312,21,9.5,1.07,44,85,,43,9.8,2.2,8.4,0.94,,0.91,,0.3,2.04,0.28,48,25.7,8,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,49.07,1.14,12.4,7.46,0.12,9.38,7.59,1.7,6.82,1.55,389,1120,2581,24,,,325,,220,,,23,310,22,8.6,0.87,36,72,,38,7.9,2.5,6.7,0.86,,,,0.35,1.84,0.22,,29,7,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,47.91,1.19,11.93,7.64,0.13,10.32,8.34,1.54,6.91,1.72,362,1269,2711,27.3,26,,335,,207,,,24,315,23,9.5,1.01,46,85,,43,9.5,2.1,7.7,0.91,,1.01,,0.31,2,0.28,66,25.6,6.4,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,51.11,0.97,15.32,7.31,0.13,7.65,7.69,3.68,4,1.15,188,1487,1927,11.6,22.9,,166,,142,,,26,289,24,8.1,1.39,76,141,,66,11.1,2.5,9.5,1.05,,,,0.46,2.7,0.37,50,30.2,7.5,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,52.65,1.13,14.35,7.17,0.13,6.51,7.52,4.35,2.69,1.27,967,1064,1730,14.5,21.5,,261,,169,,,23,279,25,7.7,1.24,51,89,,43,8.8,1.9,7,0.9,,,,0.37,2.26,0.3,,21.9,,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.93,0.92,12.88,7,0.11,8.34,7.42,1.8,5.63,1.54,159,975,2188,11.2,24.6,,279,,134,,,20,226,15,6.9,0.77,42,75,,35,8.1,1.8,5.7,0.81,,1.06,,0.29,1.8,0.23,54,18.9,4.7,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,52.44,1.21,11.39,7.43,0.11,5.94,9.1,1.43,5.74,0.93,399,1548,2430,27.4,24.4,,127,,45,,,22,360,17,12.1,1.11,52,106,,61,12.8,2.6,8.7,1.02,,,,0.27,1.79,0.27,,32,1.9,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.4,1.17,15.28,9.44,0.19,2.25,7.08,1.92,8.32,0.45,1046,5083,3380,21.8,12.5,,17,,12,,,31,336,26,13.9,1.67,88,168,,83,17.9,3.7,15.5,1.6,,1.64,,0.48,3.1,0.44,,49.4,13.1,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.89,2.17,10.08,7.12,0.08,8.88,7.99,3.55,3.08,0.88,163,933,3511,4,17.7,,433,,333,,,17,988,61,27.4,3.01,97,186,,100,20.3,4.1,11.3,1.15,,0.83,,0.27,1.36,0.17,33,36,3.2,
Lustrino et al. 2016 JVGR,Macedonia,Orogenic,Lamproite,50.29,2.08,9.92,6.88,0.1,11.47,8.08,3.06,3.03,0.98,85,1101,3268,3.2,15.6,,445,,373,,,20,897,53,22.4,2.62,81,158,,81,15.8,3.8,9.9,1.11,,,,,1.05,0.12,,28.8,4.5,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,51.5,1.45,10.73,7.28,0.1,10.3,6.3,2.96,4.36,0.52,180,538,731,41.9,24.4,151.5,894.5,,409,,,21.8,562.8,33.4,17.24,2.55,57.7,143.27,19.33,82.4,14.43,2.38,8.13,,4.59,,1.93,,1.73,0.26,19,39.74,11.41,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,48.52,2.2,10.09,7.18,0.1,9.13,7.78,3.21,2.9,0.79,148,746,3204,6.8,17.6,174.3,505.3,,317.9,,,16.7,835.5,56.3,22.36,2.81,80.64,185.33,22.33,91.92,16.09,3.72,9.3,,4.15,,1.51,,1.16,0.17,32,31.02,3.82,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,51,1.43,11.92,7.05,0.09,5.22,8.7,1.23,6.55,0.68,278,1165,1160,211.6,20,139,579,,376,,,42,691,32,18.1,,98.8,203,26.8,107.4,17.5,3.6,12.5,,7.2,,3.3,,2.9,0.4,33,41.9,11.7,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,48.23,0.89,12.99,7.03,0.12,5.64,9.59,2.92,4.26,1.31,119,1250,2060,53,20,171,327,,101,,,26,214.7,14,5.64,0.76,37.2,73.1,8.8,35.3,6.5,2.6,5.1,,3.5,,1.7,,1.7,0.3,49,18.2,4.6,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,50.41,1.47,10.16,6.66,0.11,12.85,6.2,2.34,4.62,0.65,170,793,1268,31.3,23.5,128.8,582.7,,450,,,22.8,673.7,36,19.18,2.65,76.42,183.04,24.74,103.46,17.35,2.84,9.9,,5.18,,2.04,,1.76,0.25,40,58.09,14.18,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,49.88,1.44,10.67,7.28,0.11,10.97,6.92,4.13,1.23,0.69,319,740,1953,68.8,22,138,613,,405,,,56,546.5,30.3,15.4,2.12,82.2,197.6,26.4,109.2,19.2,3.3,10.5,,6.1,,2.5,,2.04,0.3,41,50.6,13.2,
Lustrino et al. 2016 JVGR,Serbia,Orogenic,Lamproite,52.87,1.08,11.6,11.57,0.09,7.27,1.42,0.51,6.51,0.66,260,307,1853,15.4,12,86,384,,257,,,21,477.6,34.3,13.38,2.69,62.8,154,19.6,84.3,14.6,2.7,9.3,,4.4,,1.8,,1.6,0.2,56,18.5,6.2,
Lustrino et al. 2016 JVGR,Bulgaria,Orogenic,Lamproite,52.62,1.27,11.98,8.27,0.21,5.97,5.07,2.33,7.89,1.51,409,671,3580,22.4,24,162,246,47.4,62,,105,26.6,428,35,11,2,60.7,130,16.6,70.5,13.1,2.19,10.6,1.23,5.72,1,2.49,0.35,2.3,0.34,,49.3,12.2,
Lustrino et al. 2016 JVGR,Bulgaria,Orogenic,Lamproite,49.71,1.56,10.71,9.62,0.24,7.55,6.15,1.88,7.54,1.99,402,630,3380,24,29,173,309,49.2,69,,89,28.4,272,32,7,1.8,65,139,17.9,74.9,14.3,2.25,11.6,1.37,6.02,1.04,2.58,0.36,2.2,0.41,,53.2,12,
Lustrino et al. 2016 JVGR,Bulgaria,Orogenic,Lamproite,52.83,1.25,11.44,7.89,0.16,6.21,5.64,2.6,7.68,1.7,374,748,3825,26.8,27,156,205,47.1,68,,97,36.1,296,31.5,8,1.7,91.1,198,23.9,100.2,19.5,3.11,13.6,1.65,7.33,1.28,3.27,0.47,2.65,0.38,,37.3,9.1,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,61.6,2.43,10.3,6.36,0.07,2.26,2.23,1.2,10,1.29,447,1400,2720,4.5,,140,88.9,11.9,7.3,2.9,11,35.9,2070,52.2,61,3.4,93.2,223,29.4,121,20.1,4,11.5,1.47,6.7,1.14,2.9,0.45,3,0.46,56.9,274,26.6,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,62.1,2,8.91,4.59,0.06,5.46,1.96,1.71,10.1,0.98,370,917,1130,1.8,,81,191,18,23.8,2.1,12,34.9,1420,69.8,44.3,3,104,271,37,155,23.7,4.5,12.1,1.54,7.1,1.13,3.1,0.47,3,0.42,41,155,25.7,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,59.4,0.91,12.5,4.19,0.08,4.69,4.66,2.57,7.56,1.39,185,2420,6590,1.5,,75,177,15.5,13,2.5,15,31,512,19.6,15.8,1.3,231,487,54.4,204,26.6,6.3,12.8,1.49,6,0.91,2.4,0.34,2.2,0.33,35.2,52.3,11,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,59.1,1.12,14.1,3.96,0.06,2.81,4.74,2.13,8.98,1.3,139,2480,5050,1.6,,53,102,7.4,17.8,7.7,27,23.4,531,15.1,15,1,250,496,56.8,209,272,6.4,15.6,1.61,6.5,0.89,2.2,0.28,1.6,0.24,22.5,30.4,5.1,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,53.8,2.23,7.91,5.76,0.1,7.32,5.53,2.1,9.53,2.55,235,2380,5890,2.1,,106,294,23.1,40,5.2,17,45.9,1450,58.5,44.2,2.8,222,478,54.9,208,31.8,7.1,18.3,2.18,9.5,1.42,3.7,0.54,3.3,0.47,47.7,83.6,13,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,57.4,1.78,10,5.57,0.12,5.9,4.36,1.42,9.5,1.96,294,1360,5300,3.7,,81,157,22.3,96.1,11.8,28,25.5,854,34.1,24.7,1.6,126,259,32.1,127,21.3,5.1,13.1,1.57,6.7,0.97,2.6,0.34,2.2,0.28,68.8,76.7,9.7,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,60.3,0.78,11.8,4.46,0.08,5.27,3.72,3.07,7.2,1.13,267,1180,5050,3.8,,73,301,15.1,31.8,31,36,26.8,350,49.3,11.7,3.3,100,214,25.2,95.5,15.7,3.1,8.6,1.16,5.3,0.85,2.4,0.33,2.3,0.33,100,73.8,10.7,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,56.2,1.81,10.6,5.12,0.08,5.92,4.09,1.22,10.4,2.08,394,1490,3530,5.5,,97,219,19.6,127.1,12.2,23,30.7,1000,38.8,30.6,2,135,302,37.2,147,23.4,5.2,13.3,1.61,7.2,1.01,2.4,0.34,2.2,0.3,111,,21.4,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,60.2,0.55,11.7,4.61,0.14,5.16,3.87,2.13,8.29,1.01,271,1030,4730,3.1,,71,266,17.4,13,1.8,18,23.4,272,38.1,7.1,2.5,81.5,170,19.5,74.7,10.7,2.8,6.6,0.93,4.8,0.8,2.1,0.28,2,0.32,18.5,62.1,21.8,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,59.6,0.55,11.4,4.15,0.1,7.27,3.6,2.21,7.73,0.86,173,1230,3620,4.8,,44,492,16.1,81.5,11.4,159,24.6,220,26.9,6.3,2,81.4,165,19.2,73.1,12.4,2.8,8.6,1.1,5.2,0.93,2.6,0.38,2.3,0.34,267,56.3,8.5,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,60.7,0.94,11.8,4.31,0.08,4.35,2.22,1.48,10.6,1.14,358,1040,4540,8,,76,212,15.7,42.3,1.7,25,29.2,1700,132,49.2,9,169,391,42.1,158,23.6,3.3,12.9,1.49,6.4,0.89,2.2,0.32,2.1,0.29,61,236,29,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,67.9,0.84,11.8,2.9,0.04,1.59,0.89,1.14,10.7,0.62,373,490,2070,17.2,,23,47.9,5.4,9.7,1.7,14,26.2,1640,108,52.3,7.3,101,215,23.9,83.7,13.4,2,7.7,1.06,5.1,0.84,2.2,0.32,2,0.29,72.3,230,24.4,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,62.9,1.47,12.3,3.13,0.06,3.07,2.48,0.99,11.1,0.61,327,1460,3550,5.4,,81,109,10.3,5.7,1.1,3,19.7,1700,110,51.3,7.1,197,432,45.6,160,19.5,3.3,9.4,1.08,4.6,0.65,1.6,0.24,1.3,0.22,53.1,48.2,10.9,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,62.1,1.36,12.1,4.01,0.07,3.42,2.75,1.96,9.48,0.6,309,1410,5600,3.5,,78,150,12.2,24.1,5.4,19,32.9,1601,136,46.2,6.5,228,475,48,167,20.8,3.5,11.4,1.42,6.7,1.09,2.5,0.4,2.5,0.35,150,127,24.9,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,53.83,2.23,7.91,5.76,0.1,7.32,5.53,2.1,9.53,2.55,235.3,2379.8,5888,2.1,,106,,23.1,,5.2,17,45.9,1448.1,58.5,44.2,2.8,222.6,478.1,54.9,208.1,31.8,7.1,18.3,2.2,9.5,1.4,3.7,0.5,3.3,0.5,47.7,83.6,13,
Lustrino et al. 2016 JVGR,Bohemian Massif,Orogenic,Lamproite,57.4,2.3,7.44,5.64,0.09,6.75,4.71,2.08,9.11,2.15,227.4,1953.7,1885,1.7,,149,,22.5,,3.9,11,44.1,1481.1,57.2,44.4,2.5,203.2,429,48.4,1836.1,27.7,6.1,17,2,8.5,1.4,3.7,0.6,3.5,0.5,43.7,44.2,16.3,
Lustrino et al. 2016 JVGR,NE Algeria,Orogenic,Lamproite,56.18,1.43,12.8,5.49,0.08,8.83,3.16,1.61,6.56,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,NE Algeria,Orogenic,Lamproite,56.56,1.45,13.15,4.89,0.08,8.24,3.42,1.21,8.33,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,NE Algeria,Orogenic,Lamproite,53.9,1.4,15,7.97,0.14,7.8,5.14,2.1,4.35,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.26,4.54,8.33,6.5,0.07,7.3,4.08,0.78,6.89,0.86,338,1344,3183,,16,182,347,30,332,75,88,15,1146,98,25.2,5,185,323,,108,15,3.25,,0.87,,,,,1.55,0.25,39,19.5,4,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.59,4.57,8.27,6.48,0.07,8.85,4.31,1.12,5.14,0.77,376,1385,3377,,13,159,350,26,353,124,88,23,1073,110,,,182,293,,,,,,,,,,,,,54,25,3,26
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.2,4.72,7.96,6.92,0.04,8.67,4.24,1.04,5.02,0.74,647,1382,7206,,16,192,338,32,405,80,112,17,1092,96,23.7,5.2,164,294,,107,13.4,3.04,,0.78,,,,,1.47,0.21,44,18.4,2,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.07,4.92,9,6.3,0.06,9.73,4.72,3.22,1.61,0.81,329,1362,3065,,17,198,394,35,331,80,81,19,1077,113,28.9,4.9,207,370,,127,16.5,3.58,,1.13,,1.08,,,1.5,0.21,44,21.7,1,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Olivine-Leucite-Diopside Lamproite,51.26,4.54,8.33,6.5,0.07,7.3,4.08,0.78,6.89,0.86,338,1344,3183,,16,182,347,30,332,75,88,15,1146,98,25.2,5,185,323,,108,15,3.25,,0.97,,,,,1.55,0.25,39,19.5,4,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Olivine-Leucite-Diopside Lamproite,51.59,4.57,8.27,6.48,0.07,8.85,4.31,1.12,5.14,0.77,376,1385,3377,,13,159,350,26,353,124,88,23,1073,110,,,182,293,,,,,,,,,,,,,54,25,3,26
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Leucite Lamproite,50.2,4.72,7.96,6.92,0.04,8.64,4.24,1.04,5.02,0.74,647,1382,7206,,16,192,338,32,405,80,112,17,1092,96,23.7,5.2,164,294,,107,13.4,3.04,,0.78,,,,,1.47,0.21,44,18.4,2,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Olivine-Leucite-Diopside Lamproite,50.07,4.92,9,6.3,0.06,9.73,4.82,3.22,1.61,0.81,329,1362,3065,,17,198,394,35,331,80,81,19,1077,113,28.9,4.9,207,370,,127,16.5,3.58,,1.13,,1.08,,,1.5,0.21,44,21.7,1,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,41.73,2.8,4.08,8.29,0.18,21.75,5.22,0.19,4.85,0.94,288,1041,1579,,12,114,1316,,969,35,40,20,590,194,,,123,249,,82,,,,,,,,,,,19,18,4,4
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.86,3.04,6.96,7.99,0.08,15.39,3.99,0.12,5.86,1.02,208,755,2368,,13,114,1097,,517,27,199,23,888,217,,,104,239,,83,,,,,,,,,,,27,17,4,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.17,6.42,8.22,6.62,0.04,7.8,2.75,0.18,11.23,2.37,711,1999,4124,,15,158,630,,538,35,84,37,2340,244,,,589,967,,326,,,,,,,,,,,95,57,5.5,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,42.84,7.53,5.45,7.94,0.09,11.24,3.98,0.46,7.37,2.02,653,1996,17084,,16,225,546,,280,63,97,38,2472,299,,,486,1045,,471,,,,,,,,,,,93,74,11,16
