Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,58.3,1.48,12.19,5.75,0.06,9.56,3.08,0.97,8.25,0.94,698,506,1843,13.2,,102,778,9,145,,125,23,647,34,18.2,2.4,72.2,192.3,27.3,120.1,23.7,3.7,13.6,1.5,6.2,,2.5,0.3,2.1,0.3,105.2,81.1,21.9,19
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,57,1.53,12.6,5.04,0.07,5.43,3.34,2.26,6.01,1.07,540,483,1527,31.2,,110,762,10,46,,96,22,695,31,20.6,2.1,75.1,212,31.3,140.8,27.6,4.2,14.9,1.5,6.1,,2.4,0.3,2,0.3,50.2,108.9,25.5,25
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,30,558,,,,,,,,,,,,,,,,,,108.1,21.7,,,,,,,,,,105,,21.9,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.8,1.52,10,5.37,0.07,12.3,3.41,1.18,8.78,0.98,306,539,,,,,,,,,,,,,,,,237,,120.5,23.4,,,,,,,,,,64.4,89,20.3,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.28,1.4,11.64,5.27,0.08,6.88,3.15,1.97,5.97,0.98,375,603,1355,18.1,17.3,106.1,465.7,,155.4,,,24.3,651.7,41.2,18.04,2.57,68.97,201.35,28.48,132.54,24.83,3.85,13.15,,5.87,,2.22,,1.97,0.28,57,96.96,23.84,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.21,1.41,11.35,5.54,0.08,8.51,3.19,1.04,8.2,0.9,736,558,1917,29,16.8,134.3,739.2,,490,,,26.3,627,44.6,17.68,2.69,73.09,209.04,27.61,123.15,23.25,3.78,12.53,,6.17,,2.45,,2.25,0.31,,77.15,24.49,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.36,1.36,10.93,5.76,0.07,9.03,2.87,0.97,7.35,0.86,657,527,1547,21.8,15,96.2,512.1,,396.1,,,25.4,625.7,40,17.53,2.62,64.71,175.32,24.6,111.7,21.6,3.45,11.79,,5.93,,2.37,,2.1,0.29,,79.74,19.75,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.68,1.38,10.99,5.83,0.07,9.12,2.89,0.97,7.39,0.87,676,537,1497,22.9,15.9,99.1,563.8,,390,,,27.1,653.5,41.7,18.12,2.8,66.84,181.27,25.96,120.82,23.39,3.68,12.75,,6.33,,2.56,,2.24,0.32,,85.41,20.88,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.25,1.32,11.32,5.7,0.1,8.88,2.93,1.08,6.89,0.83,596,482,1395,18.6,17.3,124.4,693.8,,459.5,,,26.9,620.6,42.3,17.13,2.56,73.39,207.95,27.28,121.81,23.18,3.6,12.47,,6.22,,2.52,,2.28,0.33,,83.64,23.4,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,65.38,0.68,13.47,3.25,0.05,2.7,2.1,2.45,6.24,0.51,577,333,1197,38.8,10.8,75,207.4,,68.1,,,17.4,301.9,34,8.64,2.67,42.84,119.99,14.94,64.41,12.24,2.12,6.99,,4.02,,1.52,,1.27,0.17,,44.17,21.87,
