Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.791869241333283,3.9112556469798436,2.8115750058705933,3.372278501739273,2.6848453616444123,1.5211380837040362,3.076640443670342,2.7090154169721172,2.3550682063488506,1.715334683792313,1.3654879848908996,1.9498289589353137
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.7883621335915905,3.884926708257494,2.873320601815399,3.372278501739273,2.7209857441537393,1.5843312243675307,3.14674801363064,2.7822575736633017,2.4410664066392633,1.840043330603494,1.4456042032735976,2.069926968752472
Orogenic,Italy (Tuscany) T.A.,Lamproite,4.715704747071044,3.871138423771861,2.7781512503836434,3.2833374184024917,2.578639209968072,1.5622928644564746,3.062581984228163,2.711891549880579,2.335598296533003,1.7298934039632379,1.4502491083193612,1.9530344572503568
Orogenic,Turkey West,Lamproite,4.832414315621033,3.9048215369744335,3.1335389083702174,3.9023358316467336,2.2380461031287955,1.469822015978163,3.5599066250361124,2.67089495352021,1.9707651597807676,1.333648756514701,1.4471580313422192,1.6818741221286468
Orogenic,Turkey West,Lamproite,4.775859304243497,3.759987971649194,3.245018870737753,3.7921730862993606,2.3729120029701067,1.7067177823367587,3.701222484256557,2.736237098904729,2.0738282844011087,1.6833172619218826,1.5490032620257879,1.8027737252919758
Orogenic,Turkey West,Lc lamproite,4.700885788513084,4.076569815019332,3.273695587930092,3.7470947115641726,2.720159303405957,2.220108088040055,3.376576957056512,2.9822712330395684,2.467563712055963,1.380211241711606,1.380211241711606,2.2049877041871517
Orogenic,Turkey West,Lc lamproite,4.754186515580731,3.9566936859027955,3.2027606873931997,3.824576172733903,2.3729120029701067,2.3010299956639813,3.2946866242794433,3.000434077479319,2.3621241848476044,1.3424226808222062,1.4313637641589874,2.12241249541128
Orogenic,Turkey West,Lc lamproite,4.736695783420395,4.01071284900178,3.1992064791616577,3.7921730862993606,2.5646660642520893,2.307496037913213,3.355643050220869,3.0111473607757975,2.392204356370863,1.3222192947339193,1.3424226808222062,2.122707254318348
Orogenic,Turkey West,Lc lamproite,4.786008228198114,3.9791138629300775,3.2177470732627937,3.8703336632945784,2.4800069429571505,2.250420002308894,3.492061604512599,2.968015713993642,2.530199698203082,1.2304489213782739,1.3010299956639813,2.250420002308894
Orogenic,Turkey West,Lc lamproite,4.785417752944809,4.018265986892225,3.2211533219547053,3.8703336632945784,2.4668676203541096,2.2648178230095364,3.490379920003179,2.9800033715837464,2.526339277389844,1.2041199826559248,1.2787536009528289,2.24551266781415
Orogenic,Turkey West,Lc lamproite,4.62156095030614,4.023229406423776,3.171726453653231,3.7470947115641726,2.401400540781544,2.307496037913213,3.4316853446860116,2.9434945159061026,2.506505032404872,1.0,1.3979400086720377,2.27415784926368
Orogenic,Turkey West,Lamproite,4.774649569528415,4.02075478729592,3.2971036501492565,3.7860127775945425,2.416640507338281,2.2214142378423385,3.3165993020938607,2.9064427938170323,2.3871405694653007,1.3550682063488506,1.413299764081252,2.1411674686462323
Orogenic,Turkey West,Lamproite,4.765467525990419,4.02075478729592,3.332034277027518,3.846710617948154,2.225309281725863,2.1556396337597765,3.3316297176299323,2.8768526476013436,2.3429356348876302,1.3157604906657345,1.3944516808262162,2.0905754552222016
Orogenic,Turkey West,Lamproite,4.614612090350811,3.9818367212655508,3.1058506743851435,3.8927377728961976,2.0718820073061255,1.8280150642239767,3.204662511748219,2.721563318357481,2.091737282991661,1.162564406523019,1.2576785748691846,1.8688207061975175
Orogenic,Turkey West,Lamproite,4.818950916287711,4.056470339562455,3.2177470732627937,3.899956129901379,2.311753861055754,2.294466226161593,3.1743505974793798,2.9727580839035395,2.400537989391946,1.3244882333076564,1.334453751150931,2.144978738020031
