Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Turkey West,Lamproite,67985.19,8031.96,1360.0,7986.12,173.0,29.5,3630.0,468.7,93.49,21.56,28.0,48.07
Orogenic,Turkey West,Lamproite,59684.19,5754.24,1758.0,6196.88,236.0,50.9,5026.0,544.8,118.53,48.23,35.4,63.5
Orogenic,Turkey West,Lc lamproite,50221.05,11928.06,1878.0,5585.92,525.0,166.0,2380.0,960.0,293.47,24.0,24.0,160.32
Orogenic,Turkey West,Lc lamproite,56778.84,9050.94,1595.0,6676.92,236.0,200.0,1971.0,1001.0,230.21,22.0,27.0,132.56
Orogenic,Turkey West,Lc lamproite,54537.57,10249.74,1582.0,6196.88,367.0,203.0,2268.0,1026.0,246.72,21.0,22.0,132.65
Orogenic,Turkey West,Lc lamproite,61095.36,9530.46,1651.0,7418.8,302.0,178.0,3105.0,929.0,339.0,17.0,20.0,178.0
Orogenic,Turkey West,Lc lamproite,61012.35,10429.56,1664.0,7418.8,293.0,184.0,3093.0,955.0,336.0,16.0,19.0,176.0
Orogenic,Turkey West,Lc lamproite,41837.04,10549.44,1485.0,5585.92,252.0,203.0,2702.0,878.0,321.0,10.0,25.0,188.0
Orogenic,Turkey West,Lamproite,59518.17,10489.5,1982.0,6109.6,261.0,166.5,2073.0,806.2,243.86,22.65,25.9,138.41
Orogenic,Turkey West,Lamproite,58273.02,10489.5,2148.0,7026.04,168.0,143.1,2146.0,753.1,220.26,20.69,24.8,123.19
Orogenic,Turkey West,Lamproite,41172.96,9590.4,1276.0,7811.56,118.0,67.3,1602.0,526.7,123.52,14.54,18.1,73.93
Orogenic,Turkey West,Lamproite,65909.94,11388.6,1651.0,7942.48,205.0,197.0,1494.0,939.2,251.5,21.11,21.6,139.63
Orogenic,Turkey West,Lamproite,52960.38,10009.98,2036.0,7855.2,180.0,185.9,3603.0,836.3,266.72,23.81,23.0,150.69
Orogenic,Turkey West,Lamproite,78942.51,7912.08,1882.0,3840.32,523.0,33.0,5147.0,602.0,190.0,38.0,31.0,96.0
Orogenic,Turkey West,Lamproite,65909.94,8511.48,1213.0,7462.44,199.0,26.0,3242.0,379.0,89.0,19.0,23.0,43.0
Orogenic,Turkey West,Lamproite,51051.15,9830.16,742.0,5280.44,198.0,30.0,1652.0,648.0,109.0,13.0,27.0,50.0
Orogenic,Turkey West,Lamproite,73878.9,6533.46,1700.0,3098.44,1128.0,25.0,4210.0,528.0,145.0,32.0,45.0,86.0
Orogenic,Turkey West,Lamproite,80602.71,6833.16,3271.0,1920.16,739.0,43.8,9350.0,740.4,223.22,62.04,31.2,132.99
Orogenic,Turkey West,Lamproite,52545.33,10549.44,2180.0,6502.36,239.0,118.0,2248.0,710.0,229.0,21.0,16.0,123.0
Orogenic,Turkey West,Lamproite,52047.27,9710.28,2326.0,9120.76,198.0,117.0,2384.0,647.0,255.0,23.0,30.0,135.0
Orogenic,Turkey West,Lamproite,51881.25,9830.16,2219.0,6851.48,209.0,120.0,2354.0,680.0,257.0,22.0,24.0,126.0
Orogenic,Turkey West,Lamproite,43497.24,8091.9,863.0,2400.2,186.0,28.0,3059.0,486.0,159.0,22.0,27.0,88.0
